"id","vehicle_id","image_order","image_url"
"43","19XFC1F31HE210683",3,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F31HE210683/3.jpg"
"44","19XFC1F31HE210683",4,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F31HE210683/4.jpg"
"45","19XFC1F31HE210683",5,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F31HE210683/5.jpg"
"46","19XFC1F33LE013958",1,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F33LE013958/1.jpg"
"47","19XFC1F33LE013958",2,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F33LE013958/2.jpg"
"48","19XFC1F33LE013958",3,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F33LE013958/3.jpg"
"49","19XFC1F33LE013958",4,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F33LE013958/4.jpg"
"50","19XFC1F33LE013958",5,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F33LE013958/5.jpg"
"51","19XFC1F37ME002835",1,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F37ME002835/1.jpg"
"52","19XFC1F37ME002835",2,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F37ME002835/2.jpg"
"53","19XFC1F37ME002835",3,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F37ME002835/3.jpg"
"54","19XFC1F37ME002835",4,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F37ME002835/4.jpg"
"55","19XFC1F37ME002835",5,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F37ME002835/5.jpg"
"56","19XFC1F73GE003391",1,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F73GE003391/1.jpg"
"57","19XFC1F73GE003391",2,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F73GE003391/2.jpg"
"58","19XFC1F73GE003391",3,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F73GE003391/3.jpg"
"59","19XFC1F73GE003391",4,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F73GE003391/4.jpg"
"60","19XFC1F73GE003391",5,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F73GE003391/5.jpg"
"61","19XFC1F76KE205554",1,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F76KE205554/1.jpg"
"62","19XFC1F76KE205554",2,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F76KE205554/2.jpg"
"63","19XFC1F76KE205554",3,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F76KE205554/3.jpg"
"64","19XFC1F76KE205554",4,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F76KE205554/4.jpg"
"65","19XFC1F76KE205554",5,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F76KE205554/5.jpg"
"66","19XFC1F94GE022176",1,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F94GE022176/1.jpg"
"67","19XFC1F94GE022176",2,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F94GE022176/2.jpg"
"68","19XFC1F94GE022176",3,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F94GE022176/3.jpg"
"69","19XFC1F94GE022176",4,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F94GE022176/4.jpg"
"70","19XFC1F94GE022176",5,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F94GE022176/5.jpg"
"71","19XFC1F9XJE001159",1,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F9XJE001159/1.jpg"
"72","19XFC1F9XJE001159",2,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F9XJE001159/2.jpg"
"73","19XFC1F9XJE001159",3,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F9XJE001159/3.jpg"
"74","19XFC1F9XJE001159",4,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F9XJE001159/4.jpg"
"75","19XFC1F9XJE001159",5,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC1F9XJE001159/5.jpg"
"76","19XFC2F52HE060994",1,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F52HE060994/1.jpg"
"77","19XFC2F52HE060994",2,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F52HE060994/2.jpg"
"78","19XFC2F52HE060994",3,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F52HE060994/3.jpg"
"79","19XFC2F52HE060994",4,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F52HE060994/4.jpg"
"80","19XFC2F52HE060994",5,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F52HE060994/5.jpg"
"81","19XFC2F61LE004028",1,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F61LE004028/1.jpg"
"82","19XFC2F61LE004028",2,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F61LE004028/2.jpg"
"83","19XFC2F61LE004028",3,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F61LE004028/3.jpg"
"84","19XFC2F61LE004028",4,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F61LE004028/4.jpg"
"85","19XFC2F61LE004028",5,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F61LE004028/5.jpg"
"86","19XFC2F71GE054197",1,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F71GE054197/1.jpg"
"87","19XFC2F71GE054197",2,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F71GE054197/2.jpg"
"88","19XFC2F71GE054197",3,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F71GE054197/3.jpg"
"89","19XFC2F71GE054197",4,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F71GE054197/4.jpg"
"90","19XFC2F71GE054197",5,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F71GE054197/5.jpg"
"91","19XFC2F74GE081961",1,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F74GE081961/1.jpg"
"92","19XFC2F74GE081961",2,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F74GE081961/2.jpg"
"93","19XFC2F74GE081961",3,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F74GE081961/3.jpg"
"94","19XFC2F74GE081961",4,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F74GE081961/4.jpg"
"95","19XFC2F74GE081961",5,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F74GE081961/5.jpg"
"96","19XFC2F78GE002839",1,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F78GE002839/1.jpg"
"97","19XFC2F78GE002839",2,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F78GE002839/2.jpg"
"98","19XFC2F78GE002839",3,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F78GE002839/3.jpg"
"99","19XFC2F78GE002839",4,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F78GE002839/4.jpg"
"100","19XFC2F78GE002839",5,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFC2F78GE002839/5.jpg"
"101","19XFL1H71RE016320",1,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H71RE016320/1.jpg"
"102","19XFL1H71RE016320",2,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H71RE016320/2.jpg"
"103","19XFL1H71RE016320",3,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H71RE016320/3.jpg"
"104","19XFL1H71RE016320",4,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H71RE016320/4.jpg"
"105","19XFL1H71RE016320",5,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H71RE016320/5.jpg"
"106","19XFL1H72NE009967",1,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H72NE009967/1.jpg"
"107","19XFL1H72NE009967",2,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H72NE009967/2.jpg"
"108","19XFL1H72NE009967",3,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H72NE009967/3.jpg"
"109","19XFL1H72NE009967",4,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H72NE009967/4.jpg"
"110","19XFL1H72NE009967",5,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H72NE009967/5.jpg"
"111","19XFL1H72RE009084",1,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H72RE009084/1.jpg"
"112","19XFL1H72RE009084",2,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H72RE009084/2.jpg"
"113","19XFL1H72RE009084",3,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H72RE009084/3.jpg"
"114","19XFL1H72RE009084",4,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H72RE009084/4.jpg"
"115","19XFL1H72RE009084",5,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H72RE009084/5.jpg"
"116","19XFL1H74PE010329",1,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H74PE010329/1.jpg"
"117","19XFL1H74PE010329",2,"https://storage.googleapis.com/bronze-car-recsys/images/post_images/19XFL1H74PE010329/2.jpg"
